,score_phrase,title,url,platform,score,editors_choice,release_year,release_month,release_day,primary_genre,secondary_genre
478,Good,Tokyo Highway Battle,/games/tokyo-highway-battle/ps-185,PlayStation,7.0,N,1996,11,26,Racing,
479,Mediocre,Zero Divide,/games/zero-divide/ps-193,PlayStation,5.0,N,1996,11,26,Fighting,
480,Amazing,X-COM: UFO Defense,/games/ufo-enemy-unknown/ps-686,PlayStation,9.0,Y,1996,11,26,Strategy,
481,Okay,Darkstalkers: The Night Warriors,/games/darkstalkers-the-night-warriors/ps-141,PlayStation,6.5,N,1996,11,21,Fighting,
482,Good,FIFA Soccer '96,/games/fifa-soccer-96/ps-542,PlayStation,7.8,N,1996,11,21,Sports,
483,Bad,Mortal Kombat Trilogy,/games/mortal-kombat-trilogy/n64-454,Nintendo 64,4.1,N,1996,11,20,Fighting,
484,Amazing,Wave Race 64,/games/wave-race-64/n64-81,Nintendo 64,9.7,Y,1996,11,15,Racing,
485,Mediocre,Battle Arena Toshinden Remix,/games/battle-arena-toshinden-remix/saturn-195,Saturn,5.0,N,1996,11,15,Fighting,
486,Bad,Cruis'n USA,/games/cruisn-usa/n64-498,Nintendo 64,4.0,N,1996,11,14,Racing,
487,Mediocre,Batman Forever: The Arcade Game,/games/batman-forever/ps-318,PlayStation,5.0,N,1996,11,2,Action,
488,Great,Pilotwings 64,/games/pilotwings-64/n64-83,Nintendo 64,8.2,N,1996,9,25,Flight,
489,Mediocre,Road Rash,/games/road-rash/ps-102,PlayStation,5.0,N,1996,11,25,Racing, Action
490,Good,Ridge Racer [1995],/games/ridge-racer-1995/ps-173,PlayStation,7.5,N,1996,11,25,Racing,
491,Good,Shellshock,/games/shellshock/ps-177,PlayStation,7.0,N,1996,11,25,Action,
492,Good,SimCity 2000,/games/simcity-2000/ps-680,PlayStation,7.0,N,1996,11,25,Strategy,
493,Good,Street Fighter Alpha: Warriors' Dreams,/games/street-fighter-alpha/ps-181,PlayStation,7.0,N,1996,11,25,Fighting,
494,Awful,The Hive,/games/the-hive/ps-693,PlayStation,3.0,N,1996,11,25,Action,
495,Good,Loaded,/games/loaded/ps-157,PlayStation,7.5,N,1996,11,25,Shooter,
496,Unbearable,Revolution X,/games/revolution-x/ps-689,PlayStation,1.0,N,1996,11,25,Action,
497,Okay,Olympic Summer Games: Atlanta '96,/games/olympic-summer-games-atlanta-96-808731/ps-551,PlayStation,6.0,N,1996,11,25,Sports,
498,Good,NBA Live '96,/games/nba-live-96/ps-171,PlayStation,7.0,N,1996,11,25,Sports,
499,Painful,Psychic Detective,/games/psychic-detective/ps-526,PlayStation,2.0,N,1996,11,25,Adventure,
